Source,Target,Board
06QBS6-E,22357R10,Covisint Corp.
05FC17-E,22357R10,Covisint Corp.
05FBYY-E,22357R10,Covisint Corp.
0BZL47-E,22357R10,Covisint Corp.
0DJVYB-E,22357R10,Covisint Corp.
073P05-E,22357R10,Covisint Corp.
005KC1-E,22357R10,Covisint Corp.
0601BK-E,98978N10,"Zivo Bioscience, Inc."
00B9PT-E,98978N10,"Zivo Bioscience, Inc."
006GMC-E,98978N10,"Zivo Bioscience, Inc."
07KBZX-E,98978N10,"Zivo Bioscience, Inc."
0C6C2C-E,98978N10,"Zivo Bioscience, Inc."
00C1SN-E,33793070,"Flagstar Bancorp, Inc."
00CDQK-E,33793070,"Flagstar Bancorp, Inc."
003WMZ-E,33793070,"Flagstar Bancorp, Inc."
05KHQ7-E,33793070,"Flagstar Bancorp, Inc."
004CV6-E,33793070,"Flagstar Bancorp, Inc."
076N9J-E,33793070,"Flagstar Bancorp, Inc."
064S0W-E,33793070,"Flagstar Bancorp, Inc."
061TFX-E,33793070,"Flagstar Bancorp, Inc."
006TPP-E,16373110,Chemical Financial Corporation
05G2FP-E,16373110,Chemical Financial Corporation
05KM5V-E,16373110,Chemical Financial Corporation
00CJV9-E,16373110,Chemical Financial Corporation
005DT8-E,16373110,Chemical Financial Corporation
06C2MS-E,16373110,Chemical Financial Corporation
0031CR-E,16373110,Chemical Financial Corporation
05DW26-E,16373110,Chemical Financial Corporation
0DYXL7-E,16373110,Chemical Financial Corporation
05X3BJ-E,16373110,Chemical Financial Corporation
06C2N9-E,16373110,Chemical Financial Corporation
06BRLZ-E,16373110,Chemical Financial Corporation
0CTG9C-E,45383860,Independent Bank Corporation
001RF8-E,45383860,Independent Bank Corporation
05GL1N-E,45383860,Independent Bank Corporation
05GL1Q-E,45383860,Independent Bank Corporation
005W85-E,45383860,Independent Bank Corporation
00494W-E,45383860,Independent Bank Corporation
004WX2-E,45383860,Independent Bank Corporation
05GL1K-E,45383860,Independent Bank Corporation
05GL1L-E,45383860,Independent Bank Corporation
05HSKM-E,58737610,Mercantile Bank Corporation
007T5H-E,58737610,Mercantile Bank Corporation
05GSM1-E,58737610,Mercantile Bank Corporation
05H31M-E,58737610,Mercantile Bank Corporation
05H31N-E,58737610,Mercantile Bank Corporation
05M658-E,46421410,Isabella Bank Corporation
0852WV-E,46421410,Isabella Bank Corporation
05M65D-E,46421410,Isabella Bank Corporation
00CCF4-E,46421410,Isabella Bank Corporation
094XXP-E,46421410,Isabella Bank Corporation
00CCDS-E,46421410,Isabella Bank Corporation
0064D6-E,46421410,Isabella Bank Corporation
06PZXX-E,46421410,Isabella Bank Corporation
0CN1P5-E,46421410,Isabella Bank Corporation
07GGZ0-E,55422510,Macatawa Bank Corporation
0B2C6V-E,55422510,Macatawa Bank Corporation
0B2C7V-E,55422510,Macatawa Bank Corporation
007LXV-E,55422510,Macatawa Bank Corporation
0B53HQ-E,55422510,Macatawa Bank Corporation
07KQH0-E,55422510,Macatawa Bank Corporation
05KQL8-E,55422510,Macatawa Bank Corporation
081QQX-E,55422510,Macatawa Bank Corporation
067BGN-E,55422510,Macatawa Bank Corporation
08BFRT-E,55422510,Macatawa Bank Corporation
006MJC-E,57887710,MBT Financial Corp.
05LVRB-E,57887710,MBT Financial Corp.
006VL9-E,57887710,MBT Financial Corp.
004YT4-E,57887710,MBT Financial Corp.
00BPYB-E,57887710,MBT Financial Corp.
06BX2F-E,57887710,MBT Financial Corp.
004QKD-E,57887710,MBT Financial Corp.
05H278-E,55457110,Mackinac Financial Corporation
05J7WW-E,55457110,Mackinac Financial Corporation
06NH32-E,55457110,Mackinac Financial Corporation
004717-E,55457110,Mackinac Financial Corporation
009WRL-E,55457110,Mackinac Financial Corporation
006Q61-E,55457110,Mackinac Financial Corporation
006Q63-E,55457110,Mackinac Financial Corporation
06HWLD-E,55457110,Mackinac Financial Corporation
05KLTM-E,55457110,Mackinac Financial Corporation
06LF1L-E,17038610,"ChoiceOne Financial Services, Inc."
004QH3-E,17038610,"ChoiceOne Financial Services, Inc."
0047R0-E,17038610,"ChoiceOne Financial Services, Inc."
0DYMYV-E,17038610,"ChoiceOne Financial Services, Inc."
06LF1R-E,17038610,"ChoiceOne Financial Services, Inc."
004QHN-E,17038610,"ChoiceOne Financial Services, Inc."
00683X-E,17038610,"ChoiceOne Financial Services, Inc."
0DYMZF-E,17038610,"ChoiceOne Financial Services, Inc."
008S7K-E,17038610,"ChoiceOne Financial Services, Inc."
079DM8-E,17038610,"ChoiceOne Financial Services, Inc."
0B0R1D-E,17038610,"ChoiceOne Financial Services, Inc."
07N2QW-E,31464510,"Fentura Financial, Inc."
0BVTGN-E,31464510,"Fentura Financial, Inc."
05JP3L-E,31464510,"Fentura Financial, Inc."
00DF5W-E,31464510,"Fentura Financial, Inc."
05JP3P-E,31464510,"Fentura Financial, Inc."
0DWZZV-E,31464510,"Fentura Financial, Inc."
00443D-E,31464510,"Fentura Financial, Inc."
0B60WM-E,31464510,"Fentura Financial, Inc."
065QJZ-E,31464510,"Fentura Financial, Inc."
09Y1TF-E,86408710,"Sturgis Bancorp, Inc."
05YPKW-E,86408710,"Sturgis Bancorp, Inc."
05J4MZ-E,86408710,"Sturgis Bancorp, Inc."
09Y1WZ-E,86408710,"Sturgis Bancorp, Inc."
09Y1XG-E,86408710,"Sturgis Bancorp, Inc."
0BGHL1-E,30252820,"FNBH Bancorp, Inc."
00BT6T-E,30252820,"FNBH Bancorp, Inc."
0DQJTT-E,30252820,"FNBH Bancorp, Inc."
05JNCY-E,30252820,"FNBH Bancorp, Inc."
0048HS-E,30252820,"FNBH Bancorp, Inc."
05JND7-E,30252820,"FNBH Bancorp, Inc."
05X9B9-E,60904520,"Monarch Community Bancorp, Inc."
05X9B8-E,60904520,"Monarch Community Bancorp, Inc."
005KRV-E,60904520,"Monarch Community Bancorp, Inc."
002NWP-E,60904520,"Monarch Community Bancorp, Inc."
07514H-E,60904520,"Monarch Community Bancorp, Inc."
07514M-E,60904520,"Monarch Community Bancorp, Inc."
005SX0-E,60904520,"Monarch Community Bancorp, Inc."
061502-E,12613T10,CNB Corporation
006NP0-E,12613T10,CNB Corporation
005279-E,12613T10,CNB Corporation
0059QN-E,12613T10,CNB Corporation
0C1WPX-E,12613T10,CNB Corporation
0058ZS-E,12613T10,CNB Corporation
06G7KW-E,12613T10,CNB Corporation
094N65-E,12613T10,CNB Corporation
06G7KZ-E,12613T10,CNB Corporation
0CNQMB-E,12613T10,CNB Corporation
061504-E,12613T10,CNB Corporation
005BHZ-E,12613T10,CNB Corporation
0CXP9K-E,40413110,HCB Financial Corp.
079QNJ-E,40413110,HCB Financial Corp.
06P7K4-E,40413110,HCB Financial Corp.
079QNP-E,40413110,HCB Financial Corp.
079QNR-E,40413110,HCB Financial Corp.
06CTN8-E,40413110,HCB Financial Corp.
079QNT-E,40413110,HCB Financial Corp.
0DD7WH-E,20404610,Community Shores Bank Corporation
006X1Q-E,20404610,Community Shores Bank Corporation
006X1W-E,20404610,Community Shores Bank Corporation
006X23-E,20404610,Community Shores Bank Corporation
0BK651-E,20404610,Community Shores Bank Corporation
075DY1-E,28027J10,"Edgewater Bancorp, Inc."
0DD7Q5-E,28027J10,"Edgewater Bancorp, Inc."
0DD7R4-E,28027J10,"Edgewater Bancorp, Inc."
0DD7RK-E,28027J10,"Edgewater Bancorp, Inc."
0DD7SN-E,28027J10,"Edgewater Bancorp, Inc."
0DNSDG-E,28027J10,"Edgewater Bancorp, Inc."
07752H-E,38644110,"Grand River Commerce, Inc."
07DT6Z-E,38644110,"Grand River Commerce, Inc."
0044HP-E,38644110,"Grand River Commerce, Inc."
00D7YN-E,38644110,"Grand River Commerce, Inc."
07DT7D-E,38644110,"Grand River Commerce, Inc."
0C8D79-E,38644110,"Grand River Commerce, Inc."
07DT7G-E,38644110,"Grand River Commerce, Inc."
07DT7M-E,38644110,"Grand River Commerce, Inc."
06K2R7-E,20594410,Con-way Inc.
05DZX9-E,20594410,Con-way Inc.
05DXRN-E,20594410,Con-way Inc.
0B2828-E,20594410,Con-way Inc.
004WM4-E,20594410,Con-way Inc.
05F0K2-E,20594410,Con-way Inc.
05DZXK-E,20594410,Con-way Inc.
006PFH-E,20594410,Con-way Inc.
005J91-E,20594410,Con-way Inc.
005JGJ-E,20594410,Con-way Inc.
09NNN7-E,48815220,"Kelly Services, Inc. Class A"
05HRQC-E,48815220,"Kelly Services, Inc. Class A"
05JNDB-E,48815220,"Kelly Services, Inc. Class A"
005H3N-E,48815220,"Kelly Services, Inc. Class A"
009W86-E,48815220,"Kelly Services, Inc. Class A"
05KZ3N-E,48815220,"Kelly Services, Inc. Class A"
067096-E,48815220,"Kelly Services, Inc. Class A"
05M8G2-E,48815220,"Kelly Services, Inc. Class A"
0951QP-E,48815220,"Kelly Services, Inc. Class A"
05DY4K-E,48815220,"Kelly Services, Inc. Class A"
0CYCFL-E,46639B10,"JPX Global, Inc."
05H6XG-E,25754A20,"Domino's Pizza, Inc."
062CCQ-E,25754A20,"Domino's Pizza, Inc."
05YKNY-E,25754A20,"Domino's Pizza, Inc."
05G7FJ-E,25754A20,"Domino's Pizza, Inc."
004YTR-E,25754A20,"Domino's Pizza, Inc."
0077M6-E,25754A20,"Domino's Pizza, Inc."
078ZG3-E,25754A20,"Domino's Pizza, Inc."
00C196-E,39248510,"Greektown Superholdings, Inc. Class A"
0CG634-E,39248510,"Greektown Superholdings, Inc. Class A"
0DBL28-E,39248510,"Greektown Superholdings, Inc. Class A"
07KQQJ-E,39248510,"Greektown Superholdings, Inc. Class A"
0B06HC-E,39248510,"Greektown Superholdings, Inc. Class A"
0CGW3V-E,39248510,"Greektown Superholdings, Inc. Class A"
0DBL1S-E,39248510,"Greektown Superholdings, Inc. Class A"
004Y0J-E,59000K30,Meritage Hospitality Group Inc.
05GT19-E,59000K30,Meritage Hospitality Group Inc.
0035YC-E,59000K30,Meritage Hospitality Group Inc.
0031JB-E,59000K30,Meritage Hospitality Group Inc.
0032R5-E,59000K30,Meritage Hospitality Group Inc.
076S0P-E,25532M10,"Diversified Restaurant Holdings, Inc."
076R90-E,25532M10,"Diversified Restaurant Holdings, Inc."
05G7QQ-E,25532M10,"Diversified Restaurant Holdings, Inc."
076S0X-E,25532M10,"Diversified Restaurant Holdings, Inc."
004NF9-E,25532M10,"Diversified Restaurant Holdings, Inc."
076S2J-E,25532M10,"Diversified Restaurant Holdings, Inc."
06DDXJ-E,77866T20,"Rotate Black, Inc."
06RLSF-E,77866T20,"Rotate Black, Inc."
06LJ9K-E,77866T20,"Rotate Black, Inc."
001G4H-E,0085BV-E,Kojaian Management Corp.
001GR8-E,001SVZ-E,"CenTra, Inc."
001JJQ-E,07XPG8-E,"Lite-On Automotive North America, Inc."
05H4WG-E,07XPG8-E,"Lite-On Automotive North America, Inc."
001NSX-E,06Q3Z9-E,Saturn Electronics Corp.
06KHZM-E,06Q3Z9-E,Saturn Electronics Corp.
002D16-E,07XMNL-E,"Michigan Protection & Advocacy Service, Inc."
002L0C-E,09SV3D-E,General Chemical Corporation
004VM4-E,09SV3D-E,General Chemical Corporation
002TWY-E,001X4S-E,Bissell Inc.
005CTD-E,001X4S-E,Bissell Inc.
06YFYP-E,001X4S-E,Bissell Inc.
002Y18-E,06CY41-E,Kux Manufacturing Co.
0031CR-E,0025F3-E,"Family Christian Stores, Inc."
0032R5-E,0BZY5P-E,"Godwin Plumbing, Inc."
003LJK-E,08682V-E,Arab Community Center for Economic & Social Services
003PSP-E,0641YS-E,"Duro-Last Roofing, Inc."
003PSP-E,0641YS-E,"Duro-Last Roofing, Inc."
0042C3-E,073GB1-E,"BRP Acquisition Group, Inc."
0044L7-E,07QHZK-E,"Kipp, Inc."
0CV0RV-E,07QHZK-E,"Kipp, Inc."
0049S2-E,00C7S4-E,"Everist Genomics, Inc."
004NR0-E,000NGQ-E,"H.W. Kaufman Financial Group, Inc."
0052C2-E,06HZTS-E,"Alliance Security Network, Inc."
0055KB-E,05KWFB-E,"Delta Dental, Inc."
002HL6-E,05KWFB-E,"Delta Dental, Inc."
005C6C-E,0D27SV-E,Marketplace Housing LLC
005CTD-E,073YW8-E,"Silversmith, Inc."
005T5Q-E,071C8F-E,Audia Group
006KLQ-E,0073P6-E,Tellurex Corp.
0072PW-E,06MLKF-E,Moore & Associates
007DXV-E,09ZDPR-E,"Michigan Future, Inc."
007RHC-E,079MH2-E,Davis Cartage Co.
0081ZM-E,0D630K-E,"Medbio, Inc."
00BJRN-E,0D0HF0-E,"Agri-Tech Systems, Inc."
00BV6S-E,064752-E,"Cole's Quality Foods, Inc."
00BVJ6-E,06584H-E,Christman Company
068083-E,06584H-E,Christman Company
00BVJ6-E,06584H-E,Christman Company
068083-E,06584H-E,Christman Company
00C3GS-E,0CFVK8-E,Michigan Tech Enterprise Corp.
00D0NR-E,00BSMX-E,Klein Retail Centers Inc.
0043C4-E,00BSMX-E,Klein Retail Centers Inc.
004KB6-E,00BSMX-E,Klein Retail Centers Inc.
00D0NY-E,00BSMX-E,Klein Retail Centers Inc.
00DF07-E,0850MW-E,C.C. Power LLC
00DD7P-E,0850MW-E,C.C. Power LLC
00DF07-E,0850MW-E,C.C. Power LLC
00DD7P-E,0850MW-E,C.C. Power LLC
05DYR5-E,003M0H-E,Greenleaf Trust
05DYRQ-E,003M0H-E,Greenleaf Trust
05F2GJ-E,064CY3-E,"Avenir Group, Inc."
05F2R4-E,06T4MD-E,"Engineered Machined Products, Inc."
05F7CP-E,06YZZV-E,"Harding Energy, Inc."
05FDFV-E,002S4D-E,"Haworth, Inc."
00423K-E,002S4D-E,"Haworth, Inc."
05DYLL-E,002S4D-E,"Haworth, Inc."
07179T-E,002S4D-E,"Haworth, Inc."
05FJMH-E,05M6BP-E,Trilogy
05FMGY-E,09YFWL-E,"Life Magnetics, Inc."
061F8R-E,09YFWL-E,"Life Magnetics, Inc."
06T93W-E,09YFWL-E,"Life Magnetics, Inc."
05FNX2-E,06DYX9-E,Star Cutter Co.
05FYG1-E,0B01DK-E,"Hayes Lemmerz, Inc."
05G0WG-E,06G0F6-E,"BullsEye Telecom, Inc."
062GVZ-E,06G0F6-E,"BullsEye Telecom, Inc."
06T2SF-E,06G0F6-E,"BullsEye Telecom, Inc."
05FCMY-E,06G0F6-E,"BullsEye Telecom, Inc."
05G1KJ-E,0664JQ-E,Northern Star Broadcasting LLC
001CD4-E,0664JQ-E,Northern Star Broadcasting LLC
05G1QL-E,08462Y-E,"Vision Tech Solutions, Inc."
05G2FP-E,064JV0-E,Hanson Logistics
06JVVM-E,064JV0-E,Hanson Logistics
06JVVV-E,064JV0-E,Hanson Logistics
0699ZK-E,064JV0-E,Hanson Logistics
05DX65-E,064JV0-E,Hanson Logistics
06C5N3-E,064JV0-E,Hanson Logistics
0031D8-E,064JV0-E,Hanson Logistics
05G2NM-E,082MK3-E,Schreiber Corp.
05GJG4-E,05LWSW-E,Allegra Network LLC
05GJYD-E,05L67J-E,Penske Transportation Components LLC
0044GM-E,05L67J-E,Penske Transportation Components LLC
05GN80-E,080ZS0-E,"SilkRoute Global, Inc."
05GP0F-E,072R6C-E,Troy Public Library
05GVGK-E,000PKB-E,"Maxco, Inc."
05GXLV-E,004XRJ-E,Whitesell International Corp.
05GXMS-E,07WQVN-E,"Applied Science, Inc."
05H278-E,060551-E,Amherst Partners LLC
07D24S-E,060551-E,Amherst Partners LLC
05H3VJ-E,06TYSL-E,"Campfire Interactive, Inc."
05H87F-E,079SN3-E,Shape Corp.
05HPLS-E,06NDYY-E,"Landscape Forms, Inc."
05HSKP-E,06SCJ9-E,"Davenport Educational System, Inc."
05HT1F-E,061GBR-E,"RX Optical Laboratories, Inc."
05HTWB-E,005T51-E,VTEC Technologies LLC
05JG7Q-E,07XKFD-E,Dennen Steel Corp.
05JNDK-E,064904-E,"Art Van Furniture, Inc."
05JNDK-E,0645HV-E,English Gardens
05K4TY-E,06Z5TZ-E,The Vintage Wine Co. Ltd.
05K6DF-E,06VXBX-E,Rima Manufacturing Co.
0059VW-E,06VXBX-E,Rima Manufacturing Co.
05RGYC-E,07P52X-E,Cherryland Electric Cooperative
088D6K-E,07P52X-E,Cherryland Electric Cooperative
088D67-E,07P52X-E,Cherryland Electric Cooperative
088D43-E,07P52X-E,Cherryland Electric Cooperative
082ZQ9-E,07P52X-E,Cherryland Electric Cooperative
063M7J-E,07P52X-E,Cherryland Electric Cooperative
088D28-E,07P52X-E,Cherryland Electric Cooperative
0BQ23Y-E,07P52X-E,Cherryland Electric Cooperative
05SBKP-E,07XF54-E,"National Industrial Supply Co., Inc."
05SDML-E,07NFTB-E,US Energia LLC
05TH8S-E,064B45-E,"MPI Research, Inc."
05KJVT-E,064B45-E,"MPI Research, Inc."
05XW0B-E,06QBBR-E,The Oxford Investment Group
05YPKW-E,074JF7-E,Sturgis Improvement Association
09Y1XG-E,074JF7-E,Sturgis Improvement Association
061CYT-E,0B12N1-E,Detroit International Bridge Co.
061T72-E,07RLWL-E,"MPS Group, Inc. (Michigan)"
06LN2W-E,07RLWL-E,"MPS Group, Inc. (Michigan)"
061TFX-E,07NDB0-E,Cadillac Coffee Co.
0625DH-E,06FVQH-E,Ross Learning LLC /Management/
0626F7-E,008V4X-E,"Ameriscape, Inc."
05F5RP-E,008V4X-E,"Ameriscape, Inc."
0628Y8-E,06NG05-E,Nucraft Furniture Company
0628Y8-E,0656J7-E,Behler-Young Company
0629T6-E,07Z5KW-E,"Trinity Holding, Inc. (Michigan)"
062XPR-E,05L911-E,"Signature Financial Group, Inc."
063HFN-E,05VGWG-E,"Twinlab Holdings, Inc."
06440S-E,00125W-E,Guardian Industries
073XV3-E,00125W-E,Guardian Industries
061R3Q-E,00125W-E,Guardian Industries
07KQDM-E,00125W-E,Guardian Industries
064HQH-E,064CCG-E,Auto-Owners Insurance Group
064V5Q-E,05SJ80-E,Altair Engineering Inc.
05FQ2M-E,05SJ80-E,Altair Engineering Inc.
06V2HC-E,05SJ80-E,Altair Engineering Inc.
0621MJ-E,05SJ80-E,Altair Engineering Inc.
0D7VNJ-E,05SJ80-E,Altair Engineering Inc.
0059LZ-E,05SJ80-E,Altair Engineering Inc.
065DK4-E,07WDN3-E,"Judson Center, Inc."
066G6Z-E,05NDCP-E,Honigman Miller Schwartz & Cohn LLP
066LD1-E,07T6LR-E,"Comprehensive Planning, Inc."
066PXC-E,07WV66-E,"Second Harvest Gleaners Food Bank of West Michigan, Inc."
0B73M1-E,07WV66-E,"Second Harvest Gleaners Food Bank of West Michigan, Inc."
0B73MG-E,07WV66-E,"Second Harvest Gleaners Food Bank of West Michigan, Inc."
0B73NZ-E,07WV66-E,"Second Harvest Gleaners Food Bank of West Michigan, Inc."
0B73N3-E,07WV66-E,"Second Harvest Gleaners Food Bank of West Michigan, Inc."
0B73P6-E,07WV66-E,"Second Harvest Gleaners Food Bank of West Michigan, Inc."
0C89CG-E,07WV66-E,"Second Harvest Gleaners Food Bank of West Michigan, Inc."
0B73RB-E,07WV66-E,"Second Harvest Gleaners Food Bank of West Michigan, Inc."
0B73RV-E,07WV66-E,"Second Harvest Gleaners Food Bank of West Michigan, Inc."
0B73S5-E,07WV66-E,"Second Harvest Gleaners Food Bank of West Michigan, Inc."
0B73SQ-E,07WV66-E,"Second Harvest Gleaners Food Bank of West Michigan, Inc."
0B73T3-E,07WV66-E,"Second Harvest Gleaners Food Bank of West Michigan, Inc."
0B73TF-E,07WV66-E,"Second Harvest Gleaners Food Bank of West Michigan, Inc."
06R05B-E,07WV66-E,"Second Harvest Gleaners Food Bank of West Michigan, Inc."
0B73MX-E,07WV66-E,"Second Harvest Gleaners Food Bank of West Michigan, Inc."
0B73V3-E,07WV66-E,"Second Harvest Gleaners Food Bank of West Michigan, Inc."
0B73Q3-E,07WV66-E,"Second Harvest Gleaners Food Bank of West Michigan, Inc."
0B73V9-E,07WV66-E,"Second Harvest Gleaners Food Bank of West Michigan, Inc."
066WMC-E,05X9VT-E,Alro Steel Corporation
0D68DT-E,05X9VT-E,Alro Steel Corporation
066WQB-E,062Z7R-E,Emerald BioAgriculture Corp.
05WS0V-E,062Z7R-E,Emerald BioAgriculture Corp.
0670DH-E,081LD7-E,Inergy Automotive Systems (USA) LLC
0670DP-E,081LD7-E,Inergy Automotive Systems (USA) LLC
06QXZ3-E,081LD7-E,Inergy Automotive Systems (USA) LLC
06799C-E,06R5CH-E,Michigan Health & Hospital Association
0DDG0V-E,06R5CH-E,Michigan Health & Hospital Association
09Y4VP-E,06R5CH-E,Michigan Health & Hospital Association
065LD7-E,06R5CH-E,Michigan Health & Hospital Association
09Y4TK-E,06R5CH-E,Michigan Health & Hospital Association
067BGN-E,06VG7H-E,West Michigan Community Bank
068621-E,064G97-E,Cooperative Elevator Co.
06862B-E,064G97-E,Cooperative Elevator Co.
06862H-E,064G97-E,Cooperative Elevator Co.
068CC1-E,064KP3-E,Crawford & Winiarski Financial Consulting LLC
069FFH-E,064L91-E,"Haviland Enterprises, Inc."
06JWXS-E,064L91-E,"Haviland Enterprises, Inc."
069FVV-E,06SCGG-E,Van Andel Institute
082RV2-E,06SCGG-E,Van Andel Institute
05F666-E,06SCGG-E,Van Andel Institute
002PBG-E,06SCGG-E,Van Andel Institute
0DPDVF-E,06SCGG-E,Van Andel Institute
061R4D-E,06SCGG-E,Van Andel Institute
069J1G-E,064R98-E,"Human Synergistics, Inc."
069QV9-E,06482M-E,Besser Co.
069QV9-E,07YX9Y-E,Irwin Seating Holding Co.
06B76Q-E,05LMCZ-E,"Miller, Canfield, Paddock and Stone, P.L.C."
06B8LN-E,06BG5G-E,RDV Corp.
06BRKJ-E,070QGS-E,Bethany Christian Services
070QZB-E,070QGS-E,Bethany Christian Services
06BRMH-E,064H8W-E,Reed City Power Line Supply Co.
06C0CG-E,0653JK-E,Star of the West Milling Company
06C6V8-E,0B42T5-E,"Falcon Road Maintenance Equipment, Inc."
06CBZM-E,0642CW-E,"Walters-Dimmick Petroleum, Inc."
06CG4K-E,06CM6X-E,"ICG Castings, Inc."
05HVML-E,06CM6X-E,"ICG Castings, Inc."
05H5RR-E,06CM6X-E,"ICG Castings, Inc."
06CQ5F-E,07QPL8-E,University of Detroit Jesuit High School & Academy
06DXPN-E,07PBDL-E,"Lutheran Homes of Michigan, Inc."
06G0GG-E,06G0FY-E,VHS Group LLC
06G1TD-E,083K8X-E,Detroit Hispanic Development Corp.
06G1WC-E,07V7CK-E,"Jewish Community Center of Metropolitan Detroit, Inc."
06G7WT-E,0707XH-E,Detroit Economic Growth Corp.
0784SG-E,0707XH-E,Detroit Economic Growth Corp.
06XT71-E,0707XH-E,Detroit Economic Growth Corp.
07QVC6-E,0707XH-E,Detroit Economic Growth Corp.
068FHT-E,0707XH-E,Detroit Economic Growth Corp.
09MYNW-E,0707XH-E,Detroit Economic Growth Corp.
05XW0B-E,0707XH-E,Detroit Economic Growth Corp.
06G1T1-E,0707XH-E,Detroit Economic Growth Corp.
069MLQ-E,0707XH-E,Detroit Economic Growth Corp.
06D75C-E,0707XH-E,Detroit Economic Growth Corp.
06H357-E,0CCLZ5-E,"Citizens Bancshares, Inc. (Michigan)"
06H357-E,07Q6KM-E,"Scheurer Hospital, Inc."
06H7Y8-E,0657TQ-E,The Campbell Group
065XTQ-E,0657TQ-E,The Campbell Group
06HSD3-E,064C1Y-E,"Ovonyx, Inc."
06HV84-E,008HBW-E,"NanoMed Pharmaceuticals, Inc."
06HV82-E,008HBW-E,"NanoMed Pharmaceuticals, Inc."
089KYR-E,008HBW-E,"NanoMed Pharmaceuticals, Inc."
06JSC2-E,064J9T-E,"Gospel Communications International, Inc."
06JSC3-E,064J9T-E,"Gospel Communications International, Inc."
06JSC6-E,064J9T-E,"Gospel Communications International, Inc."
002VLF-E,064J9T-E,"Gospel Communications International, Inc."
06JSCJ-E,064J9T-E,"Gospel Communications International, Inc."
06JSCP-E,064J9T-E,"Gospel Communications International, Inc."
06JSCT-E,064J9T-E,"Gospel Communications International, Inc."
06JSCX-E,064J9T-E,"Gospel Communications International, Inc."
06JSD0-E,064J9T-E,"Gospel Communications International, Inc."
06JSD3-E,064J9T-E,"Gospel Communications International, Inc."
06JTPF-E,06VL27-E,Automatic Spring Products Corp.
06KKRM-E,008NYL-E,"Integrated Sensing Systems, Inc."
06KT7H-E,008NYL-E,"Integrated Sensing Systems, Inc."
06KN1B-E,067Q0C-E,"Michigan Holdings, Inc."
06RWF5-E,067Q0C-E,"Michigan Holdings, Inc."
0957WW-E,067Q0C-E,"Michigan Holdings, Inc."
07J22G-E,067Q0C-E,"Michigan Holdings, Inc."
06KP22-E,07PFG6-E,Lotus International Co.
06KP28-E,07PFG6-E,Lotus International Co.
06KP29-E,07PFG6-E,Lotus International Co.
008PT6-E,07PFG6-E,Lotus International Co.
06LG5P-E,0745FF-E,"S 2 Yachts, Inc."
06LG5P-E,0CZ3DZ-E,Start Garden LLC
06LGDV-E,0646ZX-E,Morpace Inc.
06LN2Y-E,061T6V-E,Soave Enterprises L.L.C.
061T72-E,061T6V-E,Soave Enterprises L.L.C.
06LN2W-E,061T6V-E,Soave Enterprises L.L.C.
061T75-E,061T6V-E,Soave Enterprises L.L.C.
06MFQ3-E,06RYRC-E,"Knight Facilities Management, Inc."
06MMCC-E,008H48-E,Self-Guided Systems LLC
06N40F-E,064B66-E,Wolverine Mutual Insurance Co.
06P33X-E,0D3Y0Q-E,"Armstrong-Yoshitake, Inc."
06P340-E,0D3Y0Q-E,"Armstrong-Yoshitake, Inc."
06P7JD-E,064L7R-E,Hastings Mutual Insurance Co.
06P7JR-E,064L7R-E,Hastings Mutual Insurance Co.
0049V2-E,064L7R-E,Hastings Mutual Insurance Co.
06P7K4-E,064L7R-E,Hastings Mutual Insurance Co.
06P7KC-E,064L7R-E,Hastings Mutual Insurance Co.
008RXQ-E,064L7R-E,Hastings Mutual Insurance Co.
06FX6T-E,064L7R-E,Hastings Mutual Insurance Co.
06PD8R-E,05L4BS-E,Amerisure Mutual Insurance Company
0D3769-E,05L4BS-E,Amerisure Mutual Insurance Company
001WKL-E,05L4BS-E,Amerisure Mutual Insurance Company
06CT88-E,05L4BS-E,Amerisure Mutual Insurance Company
05MXXW-E,05L4BS-E,Amerisure Mutual Insurance Company
05DYHH-E,05L4BS-E,Amerisure Mutual Insurance Company
074SBQ-E,05L4BS-E,Amerisure Mutual Insurance Company
06PD8C-E,05L4BS-E,Amerisure Mutual Insurance Company
06CYYM-E,05L4BS-E,Amerisure Mutual Insurance Company
05FQWQ-E,05L4BS-E,Amerisure Mutual Insurance Company
05JKGQ-E,05L4BS-E,Amerisure Mutual Insurance Company
06PLD5-E,06HZQ8-E,"ChriMar Systems, Inc."
06S23S-E,008ZKF-E,"Conceivex, Inc."
06S23P-E,008ZKF-E,"Conceivex, Inc."
06S24D-E,008ZKF-E,"Conceivex, Inc."
06S241-E,008ZKF-E,"Conceivex, Inc."
0DHQH5-E,008ZKF-E,"Conceivex, Inc."
06S23Z-E,008ZKF-E,"Conceivex, Inc."
06S23N-E,008ZKF-E,"Conceivex, Inc."
06S23T-E,008ZKF-E,"Conceivex, Inc."
06S244-E,008ZKF-E,"Conceivex, Inc."
06SM1B-E,0655R2-E,A.M. Todd Group Co.
074BX1-E,0655R2-E,A.M. Todd Group Co.
067P15-E,0655R2-E,A.M. Todd Group Co.
06SLZV-E,0655R2-E,A.M. Todd Group Co.
074BWY-E,0655R2-E,A.M. Todd Group Co.
06THR1-E,0644XL-E,MNP Corporation
0DTWVY-E,0644XL-E,MNP Corporation
06TKS5-E,0644XL-E,MNP Corporation
061WX1-E,0644XL-E,MNP Corporation
06VWY2-E,06PMDZ-E,Northern Lights Airlines Ltd.
06W201-E,06TL2D-E,"Translume, Inc."
